# NVIDIA driver versions
#
# When parsing this file, please be aware that new columns and new branches may
# be added at any time.  While I don't envision ever doing it, it's possible
# that I might add a new value for the maturity column as well.
#
# PLEASE NOTE that this file is *unofficial* and NVIDIA Corporation and Aaron
# Plattner do not guarantee the accuracy of its contents.
#
# branch maturity version
current beta 560.31.02
current long-lived-branch-release 550.120
current official 560.35.03
470 official 470.239.06
390 official 390.157
340 official 340.108
304 official 304.137
173.14 official 173.14.39
96.43 official 96.43.23
71.86 official 71.86.15
